id,lat_first,lon_first,lat_last,lon_last,time_diff
196,37.810287,-122.477525,37.781092,-122.472436,204
197,37.780749,-122.408824,37.790104,-122.397025,248
198,37.730453,-122.438464,37.631923,-122.421297,504
199,37.803173,-122.432221,37.797071,-122.423761,248
200,37.781648,-122.422243,37.792608,-122.441452,424
201,37.78942,-122.395102,37.786285,-122.399176,136
202,37.767754,-122.404967,37.751794,-122.403162,232
203,37.778728,-122.428608,37.780678,-122.430373,252
204,37.794231,-122.400003,37.783535,-122.402215,228
205,37.795362,-122.398211,37.792728,-122.397708,64
206,37.798115,-122.420427,37.802668,-122.429343,288
207,37.799281,-122.409164,37.79445,-122.434553,396
208,37.792126,-122.393715,37.783634,-122.402228,198
209,37.766095,-122.428991,37.747721,-122.427116,248
210,37.773383,-122.409069,37.787727,-122.435332,672
211,37.755289,-122.421803,37.757902,-122.406772,438
212,37.786305,-122.409878,37.78841,-122.399816,172
213,37.789659,-122.413498,37.791862,-122.399076,272
214,37.712856,-122.452517,37.737796,-122.424971,500
215,37.776617,-122.426081,37.781665,-122.430459,176
216,37.76772,-122.429888,37.776671,-122.405024,448
217,37.790706,-122.402879,37.778831,-122.396947,596
218,37.770725,-122.410718,37.782221,-122.420611,492
219,37.793812,-122.426462,37.772987,-122.406384,606
220,37.777308,-122.416098,37.769764,-122.425096,216
221,37.778186,-122.423385,37.766755,-122.430046,248
222,37.764143,-122.434988,37.771188,-122.437021,120
223,37.778589,-122.428544,37.76874,-122.420091,380
224,37.769298,-122.412144,37.770976,-122.402653,140
225,37.781387,-122.459338,37.774472,-122.455987,192
226,37.770414,-122.453774,37.789572,-122.459445,324
227,37.768973,-122.427009,37.79175,-122.39532,648
228,37.790141,-122.42245,37.799399,-122.417919,464
229,37.734496,-122.406645,37.731376,-122.427529,164
230,37.782826,-122.424188,37.758348,-122.423541,396
231,37.776952,-122.41564,37.794054,-122.419891,416
232,37.789645,-122.424069,37.799297,-122.441219,332
233,37.761823,-122.445499,37.765199,-122.431705,280
234,37.74725,-122.422475,37.725674,-122.503693,936
235,37.798278,-122.441101,37.797802,-122.449241,144
236,37.760927,-122.41993,37.769333,-122.424534,240
237,37.779991,-122.428684,37.781255,-122.402173,436
238,37.788186,-122.417675,37.792976,-122.419498,104
239,37.579334,-122.351021,37.596445,-122.370757,312
241,37.792858,-122.398381,37.796674,-122.400722,168
242,37.7992,-122.418274,37.796593,-122.397049,436
243,37.799919,-122.43602,37.801544,-122.429691,185
244,37.791815,-122.407304,37.785158,-122.398367,452
245,37.786145,-122.450099,37.787281,-122.447063,188
246,37.605203,-122.396475,37.601781,-122.381883,378
247,37.723575,-122.401846,37.745517,-122.451341,736
248,37.788525,-122.402836,37.765989,-122.410759,668
249,37.786816,-122.398498,37.781773,-122.391925,138
250,37.785454,-122.428037,37.776521,-122.426356,180
251,37.766117,-122.429385,37.763,-122.417302,252
252,37.778404,-122.405751,37.784639,-122.397756,140
253,37.792728,-122.421146,37.785108,-122.409649,312
254,37.792957,-122.400599,37.783941,-122.395777,180
255,37.788615,-122.436217,37.777044,-122.439959,560
256,37.780533,-122.403883,37.784734,-122.395553,152
257,37.763841,-122.392725,37.783725,-122.399062,1272
258,37.787439,-122.405677,37.775792,-122.42456,688
259,37.788073,-122.399451,37.787016,-122.400997,136
260,37.790101,-122.400146,37.788037,-122.417808,280
261,37.784708,-122.404583,37.786366,-122.408224,200
262,37.777956,-122.394166,37.791624,-122.39545,472
263,37.789571,-122.403648,37.799235,-122.408715,208
264,37.78445,-122.408653,37.778216,-122.396678,232
265,37.780271,-122.413335,37.7729,-122.402332,252
266,37.765471,-122.414424,37.774477,-122.420811,560
267,37.796658,-122.40526,37.787425,-122.394543,252
268,37.778943,-122.428545,37.789218,-122.43221,408
269,37.787508,-122.404488,37.792192,-122.412724,292
270,37.801887,-122.426382,37.797658,-122.396209,432
271,37.768952,-122.44505,37.760896,-122.438257,264
274,37.794405,-122.393089,37.796175,-122.398763,212
275,37.696535,-122.392137,37.634454,-122.419955,504
276,37.772094,-122.436836,37.752888,-122.434289,402
277,37.764894,-122.424173,37.755474,-122.418874,260
278,37.803756,-122.451986,37.803488,-122.430223,268
279,37.797485,-122.410342,37.772678,-122.447691,852
