624,Western Addition/NOPA,Western Addition/NOPA,294
625,Western Addition/NOPA,Castro,512
626,Mission,Bayview/Hunters Point,284
627,Mission,Bayview/Hunters Point,212
628,SOMA,SOMA,164
629,Pacific Heights,Union Square,260
630,SOMA,Hayes Valley,356
631,Mission,SOMA,304
632,SOMA,SOMA,280
633,Pacific Heights,Pacific Heights,196
634,Pacific Heights,Pacific Heights,234
635,SOMA,Dogpatch,296
636,Mission,SOMA,380
637,SOMA,SOMA,236
638,Mission,Castro,148
639,Mission,Bernal Heights,332
640,Financial District,SOMA,272
641,Financial District,SOMA,200
642,SOMA,Potrero Hill,186
643,Embarcadero,Marina/Cow Hollow,228
644,Laurel Heights,Laurel Heights,388
645,Marina/Cow Hollow,Russian Hill,188
646,Hayes Valley,SOMA,272
647,Hayes Valley,SOMA,220
648,SOMA,Marina/Cow Hollow,632
649,SOMA,Union Square,164
650,Castro,Diamond Heights,416
651,Civic Center/Tenderloin,SOMA,172
652,Hayes Valley,Excelsior,584
653,SOMA,SOMA,184
654,SOMA,Mission,484
655,North Beach/Telegraph Hill,Marina/Cow Hollow,444
656,SOMA,Civic Center/Tenderloin,408
657,SOMA,SOMA,216
658,SOMA,SOMA,228
659,Marina/Cow Hollow,Marina/Cow Hollow,280
660,Mission,Mission,92
661,Haight-Ashbury,Twin Peaks,252
662,Mission,Marina/Cow Hollow,736
663,Mission,SOMA,148
664,Pacific Heights,Pacific Heights,168
665,Western Addition/NOPA,Pacific Heights,340
666,Western Addition/NOPA,Civic Center/Tenderloin,196
667,Western Addition/NOPA,Civic Center/Tenderloin,832
668,Nob Hill,Marina/Cow Hollow,148
669,SOMA,SOMA,616
670,Financial District,Financial District,186
671,Marina/Cow Hollow,Pacific Heights,132
672,Hayes Valley,Western Addition/NOPA,260
673,SOMA,SOMA,176
674,Union Square,Castro,720
675,Mission,Bernal Heights,212
676,Hayes Valley,Western Addition/NOPA,200
677,Hayes Valley,Western Addition/NOPA,604
678,Hayes Valley,Western Addition/NOPA,764
679,Hayes Valley,Western Addition/NOPA,708
680,Mission,Mission,360
681,Mission,SOMA,156
682,SOMA,Castro,1408
683,Pacific Heights,Marina/Cow Hollow,216
684,Castro,Western Addition/NOPA,236
685,SOMA,SOMA,162
686,SOMA,Union Square,304
687,Bernal Heights,Bayview/Hunters Point,232
688,Mission,Mission,168
689,Western Addition/NOPA,SOMA,246
690,Western Addition/NOPA,SOMA,440
691,SOMA,Financial District,372
692,SOMA,SOMA,216
693,Twin Peaks,Castro,192
694,SOMA,Mission,296
695,Mission,Mission,160
696,Marina/Cow Hollow,Pacific Heights,276
697,SOMA,Pacific Heights,788
698,Hayes Valley,Laurel Heights,450
699,Russian Hill,Mission,640
700,Civic Center/Tenderloin,SOMA,308
701,SOMA,SOMA,140
702,SOMA,SOMA,224
703,SOMA,SOMA,776
704,SOMA,SOMA,268
705,SOMA,SOMA,220
706,SOMA,Bernal Heights,640
707,SOMA,SOMA,188
708,Civic Center/Tenderloin,Castro,588
709,Pacific Heights,Laurel Heights,272
710,Castro,Castro,348
711,Castro,Castro,240
712,Nob Hill,SOMA,640
713,Mission,SOMA,366
